648054,None,<p>A surprising one I learned about recently: If you're in an environment that might be audited you'll want to save all the output of your build the script output the compiler output etc.</p> <p>That's the only way you can verify your compiler settings build steps etc.</p> <blockquote> <p>Also how long to save them for and where to save them?</p> </blockquote> <p>Save them until you know that build won't be going to production iow as long as you have the compiled bits around.</p> <p>One logical place to save them is your SCM system. Another option is to use a tool that will automatically save them for you like AnthillPro and its ilk.</p>,None,None,0,None,2009-03-15 16:10:31.823000+00:00,None,2009-03-15 16:10:31.823000+00:00,None,None,None,Jeffrey Fredrick,35894,230595,2,3,,None
375537,None,<p>You can use a Regular Expression Validator to check if the password meets the complexity requirements.</p> <p>Also you can use an <a href= http://www.asp.net/AJAX/AjaxControlToolkit/Samples/PasswordStrength/PasswordStrength.aspx rel= nofollow >Pasword Strength Meter</a> control.</p>,None,None,0,None,2008-12-17 18:26:41.123000+00:00,None,2008-12-17 18:26:41.123000+00:00,None,None,None,CMS,5445,375524,2,0,,None
596323,None,<p>Look at the code on a page with Firefox 3. Then open the Firefox Error Console (Ctrl Shift J) to see which line is breaking. Then update your question with the new info.</p>,None,None,0,None,2009-02-27 19:49:14.383000+00:00,None,2009-02-27 19:49:14.383000+00:00,None,None,None,Bruno Tyndall,36590,596308,2,0,,None
178003,None,<p>A few suggestions to consider: </p> <ul> <li><strong>List the threats</strong> and compare each to your current setup. </li> <li>Use <strong>SSL / HTTPS</strong>. This alleviates a whole class of vulnerabilities. </li> <li>Use <strong>username/password</strong> generated on the server side and sent out of band (in the post or by phone) to the user. (Hope this answers question 2). </li> <li>Use <strong>2-factor authentication</strong>. To do this you can look at <strong>security tokens</strong> such as <a href= http://www.rsa.com/ rel= nofollow >RSA's keyfob-type gizmos</a> or look at Steve Gibson's <strong><a href= https://www.grc.com/ppp.htm rel= nofollow >Perfect Paper Passwords</a></strong></li> </ul>,None,None,0,None,2008-10-07 11:18:42.997000+00:00,None,2008-10-07 11:18:42.997000+00:00,None,None,None,AJ,7211,175309,2,1,,None
7753593,None,<p>The destroy function worked</p> <pre><code>$('#box').draggable( destroy ); $('#box').resizable( destroy ); </code></pre>,None,None,0,None,2011-10-13 11:45:15.273000+00:00,None,2011-10-13 11:45:15.273000+00:00,None,None,None,user951042,None,7713932,2,0,,None
374182,None,<p>The user's experience is definitely slowed down by GA on a slow connection.</p>,None,None,0,None,2008-12-17 10:33:27.973000+00:00,None,2008-12-17 10:33:27.973000+00:00,None,None,None,GeekyMonkey,29900,374084,2,1,,None
463316,None,<p>you could use <a href= http://msdn.microsoft.com/en-us/library/system.windows.forms.control.textchanged.aspx rel= nofollow >TextChanged</a>/ Keypress event use a regex to filter on numbers and take some action.</p>,None,None,0,None,2009-01-20 21:59:29.173000+00:00,None,2009-01-20 21:59:29.173000+00:00,None,None,None,Perpetualcoder,37494,463299,2,2,,None
811204,None,<p>But instead of killing these processes manually shouldn't there be a way to avoid these? I have the same problem in a project</p> <p>In our Web application we are performing some updates using a Web service (i.e. a program calls a webservice method. The method opens a connection does an update commits and closes the connection using connection.close()) </p> <p>In the sqlserver mgmt studio if I do a sp_who2 I see that the connections increase as teh app is running - in fact at the rate of 1 connection per update execution. AND the concerning part is that it crosses the 100 and then does not allow more connections into the db. Users are not able to login as well the programs fail as they cannot get any more new connections.</p> <p>How to ensure that the connections are reused - We have not written any connection pooling code using the default asp.net and Sqlserver connection pooling. Why are the connections not be reused and why are they not vanishing after being Closed ? Does this depend on the fact that a webservice is handling the transaction ?</p> <p>Thanks a lot</p>,None,None,0,None,2009-05-01 12:46:23.327000+00:00,None,2009-05-01 12:46:23.327000+00:00,None,None,None,Anand,None,81589,2,1,,None
4437372,None,<pre><code>Long result = -1L; </code></pre>,None,None,0,None,2010-12-14 08:52:39.603000+00:00,None,2010-12-14 08:57:45.683000+00:00,2010-12-14 08:57:45.683000+00:00,user467871,None,user467871,None,4437358,2,1,,None
7068924,None,<p>Adjustments can be made to this. You need to change the footer to display zindex:-1</p> <pre><code>&lt;style&gt; * { margin:0px; padding:0px; } .page { min-height:100%; height: auto !important; // modern browser see this instead of the height: 100% height: 100%; // IE sees this but allows block to expand. position: absolute; width: 100%; } &lt;/style&gt; &lt;div class= page &gt; &lt;div style= height:100px; &gt; content &lt;/div&gt; &lt;div style= height:333px; &gt; empty space provided so content does not slide under footer &lt;/div&gt; &lt;div style= position:absolute; bottom:0px; height:333px &gt; Min height Hack to make page be at least 100% of screen size but if content is bigger then scroll bars appear and this information is under the content. Works with quirk mode browsers. &lt;/div&gt; &lt;/div&gt; </code></pre>,None,None,0,None,2011-08-15 18:23:39.490000+00:00,None,2011-08-15 18:28:41.970000+00:00,2011-08-15 18:28:41.970000+00:00,None,483536,None,483536,7068842,2,0,,None
711315,None,<p>You could use the <strong>find</strong> module. Here's a code snippet:</p> <pre><code> require find ignored_extensions = [ .cs  .txt ] Find.find(path_to_directory) do |file| # the name of the current file is in the variable file # you have to test it to see if it's a dir or a file using File.directory? # and you can get the extension using File.extname # this skips over the .cs and .txt files next if ignored_extensions.include?(File.extname(file)) # insert logic to handle other type of files here # if the file is a directory you have to create on your destination dir # and if it's a regular file you just copy it. end </code></pre>,None,None,0,None,2009-04-02 19:50:11.893000+00:00,None,2009-04-02 19:56:00.083000+00:00,2009-04-02 19:56:00.083000+00:00,Geo,31610,Geo,31610,711294,2,8,,None
21607714,None,<p>You received a notice because you didn't initialized the values of the array. Use this construction to prevent them.</p> <pre><code>if (! array_key_exists('flag' $_REQUEST)) { $_REQUEST['flag'] = whatever value goes here; } </code></pre>,None,None,0,None,2014-02-06 15:55:42.593000+00:00,None,2014-02-06 16:01:24.713000+00:00,2014-02-06 16:01:24.713000+00:00,user3111737,None,user3111737,None,21607564,2,0,,None
496027,None,<p>To be a silverlight developer you really only need to know a .NET language event driven programming and how to use markup for XAML. It's pretty simple really; the XAML describes UI elements (which can all be handled by the designer) which can then be used in code as a .NET object is created for each UI element.</p> <p>Knowing graphic design is just a bonus.</p>,None,None,0,None,2009-01-30 16:04:21.273000+00:00,None,2009-01-30 22:33:36.560000+00:00,2009-01-30 22:33:36.560000+00:00,matthews,53189,matthews,53189,495993,2,6,,None
11839062,None,<p>They are basically two different ways to accomplish the same thing: set the pointer to the beginning of the file. The only difference is that <code>rewind</code> also clears the error indicator.</p> <p>If given the choice you should use <code>fseek</code>. This is because <code>rewind</code> doesn't return an integer indicating whether the operation has succeeded.</p>,None,None,0,None,2012-08-07 04:00:10.070000+00:00,None,2012-08-07 04:00:10.070000+00:00,None,None,None,user672118,None,11839025,2,11,,None
